Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2021,10,ATAŞEHİR,10663439.48
2021,11,ATAŞEHİR,18669506.403
2021,12,ATAŞEHİR,29204844.48
2022,1,ATAŞEHİR,37027680.999
2022,2,ATAŞEHİR,30591989.429
2022,3,ATAŞEHİR,37876066.081
2022,4,ATAŞEHİR,15059571.316
2022,5,ATAŞEHİR,8397531.024
2022,6,ATAŞEHİR,4832519.066
2022,7,ATAŞEHİR,3931567.29
2022,8,ATAŞEHİR,4041572.136
2022,9,ATAŞEHİR,4536575.66
2022,10,ATAŞEHİR,7767574.884
2022,11,ATAŞEHİR,14140358.377
2022,12,ATAŞEHİR,24137414.646
2023,1,ATAŞEHİR,27501107.81
2023,2,ATAŞEHİR,31569274.777
2023,3,ATAŞEHİR,27439170.466
2023,4,ATAŞEHİR,16350797.685
2015,1,AVCILAR,25341204.628
2015,2,AVCILAR,22297471.168
2015,3,AVCILAR,21305678.957
2015,4,AVCILAR,13868978.793
2015,5,AVCILAR,6200565.585
2015,6,AVCILAR,5328233.965
2015,7,AVCILAR,4396140.045
2015,8,AVCILAR,4491861.042
2015,9,AVCILAR,4722781.346
2015,10,AVCILAR,7421491.952
2015,11,AVCILAR,11631586.236
2015,12,AVCILAR,22599899.805
2016,1,AVCILAR,26724921.867
2016,2,AVCILAR,18922793.021
2016,3,AVCILAR,17692229.524
2016,4,AVCILAR,7932809.75
2016,5,AVCILAR,6515442.587
2016,6,AVCILAR,5137047.386
2016,7,AVCILAR,3967524.237
2016,8,AVCILAR,4643342.606
2016,9,AVCILAR,4517061.399
2016,10,AVCILAR,8110858.812
2016,11,AVCILAR,16340031.189
2016,12,AVCILAR,28502776.93
2017,1,AVCILAR,33424996.869
2017,2,AVCILAR,25685798.307
2017,3,AVCILAR,21260257.912
2017,4,AVCILAR,13825960.951
2017,5,AVCILAR,7053166.714
2017,6,AVCILAR,4822787.264
2017,7,AVCILAR,4715803.194
2017,8,AVCILAR,4611009.788
2017,9,AVCILAR,4709371.776
2017,10,AVCILAR,8111013.934
2017,11,AVCILAR,15981371.09
2017,12,AVCILAR,19801604.581
2018,1,AVCILAR,29175067.216
2018,2,AVCILAR,23901925.253
2018,3,AVCILAR,23049191.054
2018,4,AVCILAR,11574417.485
2018,5,AVCILAR,7292112.447
2018,6,AVCILAR,5288687.331
2018,7,AVCILAR,5292575.362
2018,8,AVCILAR,4295544.735
2018,9,AVCILAR,5318282.771
2018,10,AVCILAR,7450056.803
2018,11,AVCILAR,15891572.719
2018,12,AVCILAR,28836403.89
2019,1,AVCILAR,31575405.855
2019,2,AVCILAR,25934956.086
2019,3,AVCILAR,22693384.15
2019,4,AVCILAR,16279958.906
2019,5,AVCILAR,7689532.281
2019,6,AVCILAR,4873815.782
2019,7,AVCILAR,5566077.564
2019,8,AVCILAR,4731219.126
2019,9,AVCILAR,5572548.042
2019,10,AVCILAR,6979073.913
